id,status,needs_review,review_reasons,title,location,postcode,price_eur,rent_period,double_beds,url,thumbnail_url,first_seen,last_seen
daft-6617445,active,True,double_bed_count_not_visible_in_email;detail_unavailable_cache_miss;studio_or_single_bed_metadata;double_bed_not_confirmed,"South Circular Road, Dublin 8, Dolphin's Barn, Dublin 8","Dolphin's Barn, Dublin 8",Dublin 8,1500,month,,https://www.daft.ie/for-rent/south-circular-road-dublin-8-dolphins-barn-dublin-8/6617445,,2026-07-09,2026-07-09
daft-6617121,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;double_bed_not_confirmed,"Richmond Hill, Dublin 6, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,month,,https://www.daft.ie/for-rent/richmond-hill-dublin-6-rathmines-dublin-6/6617121,,2026-07-09,2026-07-09
daft-6613255,active,True,description_mentions_double_bed;studio_or_single_bed_metadata;single_bedroom_metadata;verify_before_contacting,"Ranelagh Road, Dublin 6, Ranelagh, Dublin 6","Ranelagh, Dublin 6",Dublin 6,1500,month,1,https://www.daft.ie/for-rent/ranelagh-road-dublin-6-ranelagh-dublin-6/6613255,,2026-07-09,2026-07-09
daft-6612884,active,True,description_mentions_double_bed;studio_or_single_bed_metadata;single_bedroom_metadata;verify_before_contacting,"Apartment 6, 55 Rathmines Road Upper, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,month,1,https://www.daft.ie/for-rent/apartment-6-55-rathmines-road-upper-rathmines-dublin-6/6612884,,2026-07-09,2026-07-09
daft-6605369,active,True,double_bed_count_not_visible_in_email;detail_redirected_to_search;possibly_removed_or_changed;studio_or_single_bed_metadata;double_bed_not_confirmed,"40 Leinster Road, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,month,,https://www.daft.ie/for-rent/40-leinster-road-rathmines-rathmines-dublin-6/6605369,,2026-07-09,2026-07-09
daft-6595545,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;double_bed_not_confirmed,"Flat 6, 2 Maxwell Road, Dublin 6, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1500,month,,https://www.daft.ie/for-rent/flat-6-2-maxwell-road-dublin-6-rathgar-dublin-6/6595545,,2026-07-09,2026-07-09
daft-6589180,active,False,,"Elm Mount, Beaumont, Dublin 9","Beaumont, Dublin 9",Dublin 9,1500,month,1,https://www.daft.ie/for-rent/elm-mount-beaumont-dublin-9/6589180,,2026-07-09,2026-07-09
daft-6582987,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;wall_bed;double_bed_not_confirmed,"Flat 3, 37 Leeson Street Upper, Ballsbridge, Dublin 4","Ballsbridge, Dublin 4",Dublin 4,1500,month,,https://www.daft.ie/for-rent/flat-3-37-leeson-street-upper-ballsbridge-dublin-4/6582987,,2026-07-09,2026-07-09
daft-6551651,active,True,detail_unavailable_cache_miss;title_mentions_double_room;house_share_possible;price_assumed_within_uploaded_base_filter,"Crumlin Road, Dublin 12 [double room]","Crumlin Road, Dublin 12",Dublin 12,1500,month,1,https://www.daft.ie/for-rent/crumlin-road-dublin-12-double-room-/6551651,,2026-07-09,2026-07-09
daft-2626696,active,True,double_bed_count_not_visible_in_email;detail_unavailable_cache_miss;student_accommodation_possible;price_assumed_within_uploaded_base_filter;double_bed_not_confirmed,"Hazelwood Student Village, North Wood, Santry, Dublin 9","Santry, Dublin 9",Dublin 9,1500,month,,https://www.daft.ie/for-rent/hazelwood-student-village-north-wood-santry-santry-co-dublin/2626696,,2026-07-09,2026-07-09
daft-6606572,active,True,double_bed_count_not_visible_in_email,Property Alert,Dublin 7,Dublin 7,1500,month,,https://www.daft.ie/for-rent/flat-2-31-cabra-park-phibsborough-dublin-7/6606572?ea=1,,2026-07-12T09:59:13+00:00,2026-07-12T09:59:13+00:00
daft-6619516,active,True,double_bed_count_not_visible_in_email,Property Alert,Dublin 7,Dublin 7,1500,month,,https://www.daft.ie/for-rent/flat-6-197-north-circular-road-north-circular-road-dublin-7/6619516?ea=1,,2026-07-13T09:47:30+00:00,2026-07-13T09:47:30+00:00
daft-6619850,active,True,double_bed_count_not_visible_in_email,Property Alert,Dublin 12,Dublin 12,1500,month,,https://www.daft.ie/for-rent/walkinstown-crescent-dublin-12-walkinstown-dublin-12/6619850?ea=1,,2026-07-13T13:29:42+00:00,2026-07-13T13:29:42+00:00
rentie-6620242,active,False,,"Charlemont Street, Dublin 2",Dublin 2,Dublin 2,1500,month,1,https://www.rent.ie/rooms-to-rent/Charlemont-Street-Dublin-2/6620242,,2026-07-18T05:35:00+00:00,2026-07-18T05:35:00+00:00
daft-6529240,price_above_filter,True,current_detail_price_above_filter;non_active_manual_status;exclude_from_active_view,"Flat 9, 102 North Circular Road, Stoneybatter, Dublin 7","Stoneybatter, Dublin 7",Dublin 7,1700,month,1,https://www.daft.ie/for-rent/flat-9-102-north-circular-road-stoneybatter-dublin-7/6529240,,2026-07-09,2026-07-09
